time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,E,2,8545,Newmark Continuation High ,C,9-12,2017,4,0%,25%,0%,75%
April SY 14-15,N,3,8786,North Hollywood Senior High ,S,9-12,2017,670,59%,10%,9%,23%
April SY 14-15,N,3,8786,North Hollywood Senior High ,S,9-12,2018,685,73%,15%,11%,1%
April SY 14-15,N,3,8513,Northridge Academy Senior High ,S,9-12,2017,288,67%,10%,7%,16%
April SY 14-15,N,3,8513,Northridge Academy Senior High ,S,9-12,2018,268,38%,41%,19%,1%
April SY 14-15,S,5,8873,Odyssey Continuation High ,C,9-12,2017,1,0%,0%,0%,100%
April SY 14-15,E,2,8853,Orthopaedic Hospital Senior High Medical Magnet ,SS,9-12,2017,209,73%,17%,5%,6%
April SY 14-15,E,2,8853,Orthopaedic Hospital Senior High Medical Magnet ,SS,9-12,2018,197,71%,28%,1%,0%
April SY 14-15,N,3,8573,Owensmouth Continuation High ,C,9-12,2017,3,33%,0%,33%,33%
April SY 14-15,N,3,8573,Owensmouth Continuation High ,C,9-12,2018,1,0%,100%,0%,0%
April SY 14-15,N,6,8610,Panorama Senior High ,S,9-12,2017,324,36%,16%,13%,35%
April SY 14-15,N,6,8610,Panorama Senior High ,S,9-12,2018,395,43%,29%,26%,2%
April SY 14-15,S,7,8781,Patton Continuation High ,C,9-12,2017,4,0%,0%,25%,75%
April SY 14-15,E,2,1953,Perez Special Education Center ,H,PK-12,2017,18,0%,0%,0%,100%
April SY 14-15,E,2,1953,Perez Special Education Center ,H,PK-12,2018,20,0%,0%,0%,100%
April SY 14-15,W,4,8909,Phoenix Continuation High ,C,9-12,2017,5,0%,0%,0%,100%
April SY 14-15,E,2,8731,Pueblo De Los Angeles Continuation High ,C,9-12,2017,13,8%,0%,38%,54%
April SY 14-15,E,2,8731,Pueblo De Los Angeles Continuation High ,C,9-12,2018,2,0%,0%,50%,50%
April SY 14-15,XP,2,8516,Ramon C Cortines School Of Visual & Performing Arts ,S,9-12,2017,428,55%,14%,11%,20%
April SY 14-15,XP,2,8516,Ramon C Cortines School Of Visual & Performing Arts ,S,9-12,2018,388,85%,13%,1%,1%
April SY 14-15,XS,2,8807,Ramona Opportunity High School ,T,7-12,2017,18,33%,22%,17%,28%
